puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id
,-,Viet Nguyen le Hoang,Viet Nguyen le Hoang,-,25,Drama,ban cùng phòng,tt10076854
,-,Daniel Faustino,"['Ricardo Coelho', 'Bruna Lima']","The young Franz Zimmerman have a intense relationship with Miguel and lives the dilemma of being forced by his father, a respected colonel, to follow a career in the army or live your dream: be a writer.",-,Drama,última noite em viena,tt10075034
-,-,"['Jamie Bu', 'Cher']","['Jamie Bu', 'Cher', 'Lyindaa Russell']",-,-,Drama,a good day,tt10075046
,-,Kevin Kailash Muthiah,"['Suveer Bhambhani', 'Kabir Thapar']","Rukhsaar, an educated girl who bears the brunt of ""Triple Talaq."" She tells us how Quran never propagated all this but she wonders how this became a practice? What does she do? How does her Life progress?",-,Drama,triple talaq,tt10075048
,-,Camden Ferrell,Camden Ferrell,"In Part 2 of the Rabbit's Blood Trilogy, we are introduced to Miss Ella, a kind and mysterious being.",2,Drama,miss ella,tt10078518
,-,Camden Ferrell,Camden Ferrell,"In the finale to the Rabbit's Blood Trilogy, a story unfolds over the course of thousands of years. The mystical Miss Ella and Rabbit Hole are further explored, and many questions are answered.",10,Drama,skewed conception,tt10078560
-,-,James Rohan,James Rohan,"Cathy, a middle aged widow, decides to take the plunge into online dating in hopes of finding new life. When her daughter (Denise) comes home for a visit, they find themselves in the uncomfortable position of discussing the elephants in the room: life, love, and regrets.",23,Drama,remember,tt10163526
,-,Sheffield Leithart,Sheffield Leithart,-,-,Drama,my megan,tt10079754
,-,Toni Nagy,Toni Nagy,"Mary finds herself in an unusual predicament. Flooded by patriarchal influence, she must cling to the raft of friendship - and rely on her own will and conviction - to stay afloat.",-,Drama,mary's wise men,tt10081990
50,-,Alexis Devillers,Alexis Devillers,"An encounter of two individual, Kat and Allen attaches by time one and the other deeply, they share a lot of memories, even identical experiences, but more than that something inexplicable submerges in their relationship, In a confusion of reality and delusion, Kat is faced to make a choice.",23,Drama,kat,tt10084828
,-,Haider Hazim,Haider Hazim,A young man waits for his sweetheart in the gardens of Abu Nawas.,-,Drama,9 am,tt10085392
,-,Clair Bishop,-,Jamie is meeting her Mum for the first time since her mental breakdown. Jamie's nerves manifest themselves as she tries to come to terms with growing up and her new mum.,8,Drama,wake up girl,tt10086848
,-,Ethan Christy,Ethan Christy,-,16,Drama,billy's restaurant,tt10082838
,-,Kelechi Okoro,"['Jim Munoz', 'Kelechi Okoro']",A restless spirit lives on.,3,Drama,the ghost of hamlet's father,tt10086124
,-,Renata Mellão,Renata Mellão,A woman is haunted by memories of the agony and ecstasy of an intense love.,7,Drama,dream of love,tt10087450
,-,"['Tristan Bera', 'Joshua Olsthoorn']","['Tristan Bera', 'Joshua Olsthoorn']","A girl wanders like a flaneur in the center of Athens: a Constitution, a War Museum, a Town Hall. She wears sunglasses and black clothes. ""Kills"" a boy outside the Galaxy bar and describes, sitting on the balcony of an apartment in Exarchia, the way the Molotov bomb is operating - it is an incendiary and not an explosive mechanism, he says.",38,Drama,the girl from exarcheia,tt10087074
,-,Barbara Balestas Kazazian,Barbara Balestas Kazazian,"A clandestine cloud in transhumance. that is what Clement's body was amongst this nocturnal fauna. And this is Jude, who is the daylight which sparks in the dark, the glow that warms up the bodies. who will mentor Clement in this night of potentialities, towards redemption.",24,Drama,nous sommes nuit ils sont jour,tt10090594
-,-,Gabriela Amerth,Gabriela Amerth,"A visual and audible representation of what it feels like to struggle with anxiety. Anxiety is a 1 minute film made in the subject's apartment, it has 2 sentences, one at the beginning and a closing line.",1,Drama,anxiety,tt10010034
-,7.2,Louisa Baldwin,Louisa Baldwin,-,3,Drama,fifteen,tt10091222
,-,Marc Eikelenboom,Marc Eikelenboom,"Since the fatal accident of his colleague Richard, planner Erik has been waking up every night. It haunts him: What could he have done? His wife, tired of those nightly interruptions, goes with him through various incidents.",-,Drama,hoe dan?,tt10092518
,-,Tanmay Chowdhary,"['Tanmay Chowdhary', 'Zuzanna Korbal', 'Emilia Piech']","""Color of November"" is a contemporary portrait of the relationship between two young women in the month of November in Poland.",-,Drama,kolory listopada,tt10091694
,-,Seif Allah Bouchrara,Seif Allah Bouchrara,A foreigner who kept being ignored by his colleagues tries to commit suicide.,6,Drama,the power of inclusion,tt10097626
,-,Patrick Nicholls,Patrick Nicholls,"Two people, one Eastern European, one British, wake in a dimly lit room - How and why they are there is uncertain, until the clock begins.",5,Drama,forty-eight.one,tt10092784
,-,Umut Durmusoglu,Umut Durmusoglu,-,-,Drama,dar açi,tt10095310
,-,Laurie J. Gardiner,Laurie J. Gardiner,-,7,Drama,leave me with a smile,tt10097490
,-,-,-,A foreigner who kept being ignored by his colleagues tries to commit suicide.,6,Drama,the power of inclusion,tt10097626
73,-,Lily Marks,Lily Marks,A short film which explores the world of sexual assault that lies within the fashion industry of the 1970s.,15,Drama,jane,tt10099480
,7.2,Emiliano Cunha,Emiliano Cunha,-,12,Drama,endotermia,tt10099546
21,-,Noirin Drumm,Noirin Drumm,-,-,Drama,the veil,tt10086844
,6.8,Leonardo Martinelli,Leonardo Martinelli,The daily life of a young woman from Rio de Janeiro witnessed through her cell phone screen.,10,Drama,lembra,tt10098852
,-,Ilshat Saetov,Ilshat Saetov,"Neurogenetic Marat wakes up indoors and founds his exact copy behind the glass in the next room. A voice from the speakers gives them 10 minutes to figure out which of them is the real 'me'. The original will survive, a copy will be recycled.",12,Drama,where is 'me'?,tt10100686
,-,Igor Aleksov,Aleksandar Rusjakov,Marko is a vampire who suddenly starts to dream and wake up before the sunset...,20,Drama,dream of blood and soul,tt10100142
,8.2,Roberto Bermeo,Roberto Bermeo,"Greece is a girl who lives with her best friend Alex in Lima, a city in Peru that constantly rejects young people and dreamers. These two are leading a journey of self-discovery, demonstrating the true meaning of their friendship.",16,Drama,greece,tt10101686
-,5.3,Beatrice Gibson,Beatrice Gibson,"Reframing our current political moment in intimate terms, Gibson's urgent snapshot of social calamities doubles as a document of practical resistance. Pauline Oliveros' music and the words of poets CAConrad and Eileen Myles imbue images of street riots and refugee migration with graceful complexity.",21,Drama,i hope i'm loud when i'm dead,tt10100994
,-,Hamidreza Abolhelm,"['Hamidreza Abolhelm', 'Nima Taghizadeh']","In a world where time determines all, Masoud Parsa, a teacher, sets foot in the Day Allocation Department to try and make a request work out.",12,Drama,extension,tt10101198
,-,Anastasia Kratidi,Anastasia Kratidi,-,14,Drama,vassileia,tt10101786
,-,Damaris Fuentes-Lorenzo,Damaris Fuentes-Lorenzo,-,-,Drama,cada cuarenta segundos,tt10102502
,-,Marko Brkic,Marko Brkic,-,20,Drama,ljetne jagode/summer strawberries,tt10102516
,-,"['Keon Abbott', 'Hyatt Mamoun']",Keon Abbott,"A parable tale about the hardworking fisherman Beau and what transpires after the rich businessman Brad makes him an offer he can't refuse. Based upon the short story ""The Fisherman and the Businessman"" written by author Paulo Coalho.",-,Drama,beau,tt10101838
,-,James La Motta,James La Motta,-,-,Drama,as a woman,tt10105138
,6.6,Pauline Amelin,Pauline Amelin,-,15,Drama,show,tt10105558
,-,Alessandro Manieri,Alessandro Manieri,"Giulia is a young woman of rare beauty, as rare is her disease: Huntington Corea. It's a degenarative disease invisible at the moment. But soon the disease will show her effects as it has happened to Giulia's father. Everybody knows we have to die. But nobody knows how. Giulia, instead , knows it, and this is the theme around wich the docu works. However Giulia's stor... Leer todo",5,Drama,guardami ora,tt10107440
,-,Maricio Mo Zapata,"['Anthony Ruiz', 'Maricio Mo Zapata']",An incident that has taken place over nine years has resurfaced and everyone involved becomes RATTLED.,-,Drama,rattled,tt10107522
,-,Cole Brewer,Cole Brewer,"Abraham Sweet, a trailer trash man raised by TV decides the only way he can become famous is to rob a bank and become an outlaw.",12,Drama,the unknown outlaw,tt10109930
,-,Josef Gacutan,Josef Gacutan,"An elderly man tries to repair his relationship with his estranged son, but a mysterious black figure gets in the way.",-,Drama,'wag mo 'kong kausapin,tt10111288
,-,Rémi Galas,Tiphaine Sintes,-,36,Drama,la vie nous appartient,tt10109724
,-,Mervine Anjelo Aquino,-,"The filmmaker and his mother recount memories of their old homes and the family's repetitive experiences of packing (and unpacking), moving, and accumulating things over the years. They try to imagine and describe a ""dream house"" and await the possibility of owning a house in the future.",15,Drama,baguio address no. 10,tt10111266
,-,Sharly Sharza,Sharly Sharza,"Following a nasty break up, two aliens named, Carlisle and Finnigan meet up in a diner to re-evaluate their relationship and shared future.",-,Drama,mercury on fifth,tt10111128
80,7.5,Shiladitya Moulik,Shiladitya Moulik,"Two girls accidentally find out that in addition to the man they unknowingly share, they also share a lot of gifts from him. Including a game of ludo which resembles their lives in some manner.",10,Drama,ludo,tt10112128
,-,Alex Torres,Alex Torres,-,-,Drama,madugo ang gabi,tt10111538
,-,Steven Thai,"['James Le', 'Jessica Tan', 'Steven Thai']",-,4,Drama,my escape,tt10110664
,-,Shaira Advincula,Shaira Advincula,"In a culture where designs are dreamt about and to be woven only by women, a T'boli man is challenged to face a cultural norm as the abaca goddess shows him a pattern to weave in his dreams.",15,Drama,tembong,tt10111530
,-,Klarisse Purugganan,Klarisse Purugganan,"A visual tale, through possibly both dreams and delirium, where an orphan boy plagued with loneliness and alienation find inspiration in an ill roommate as they journey to find a real home.",16,Drama,balai,tt10111534
,-,Don Senoc,Don Senoc,Jun is a farmer who lives near a pineapple field with his mother Dita and his brother Mako. His aunt from Manila who can't bear a child offers to adopt Mako with a promise to give him a good life. Jun and Mako face their impending separation and think of ways they can spend every minute together.,-,Drama,sa among agwat,tt10111532
,-,Stephen Lopez,Stephen Lopez,-,-,Drama,gabi ng kababalaghan,tt10111522
73,-,"['Kevin Garcia', 'Colin Bae']",-,A psychologist finds his everyday life disrupted when an old teddy bear from his past begins to haunt him.,6,Drama,feed me,tt10115370
-,-,Dicle Ozcer,Dicle Ozcer,A young writer discovers a novel that carries similarities to her own life.,10,Drama,heart and soul,tt10116534
,-,Shivani Mehra,Shivani Mehra,-,-,Drama,sadharan - a little thought,tt10115740
-,-,Douglas Hamilton,Douglas Hamilton,-,7,Drama,closer to heaven,tt10115668
,-,Camila Ortega,Camila Ortega,-,-,Drama,mar,tt10116454
,-,Chris Corbett,Ruane van Rooyen,-,23,Drama,die ongenooides,tt10117214
,-,Douglas Hamilton,Douglas Hamilton,-,6,Drama,lawrence and bently,tt10120758
27,-,Jack Edmonds,-,A traveller recounts his fabled journey through an ever changing landscape as he follows an Alchemist on his search for gold.,15,Drama,the alchemist,tt10118380
90,-,Johannes Pieter Nel,Johannes Pieter Nel,-,23,Drama,benjamin,tt10117276
,-,Renzo Montoya,Renzo Montoya,"A young artist is on the verge of an existential crisis to the point that he needs to take photographs of people to assume their identities and thoughts, thinking to have a better perspective of art each time. However, he will realize what are the limits of his mind, when taking a picture of a stranger, will let him know how much self-control he has.",17,Drama,the white camera,tt10120774
67,-,Eric Eghigian,Eric Eghigian,A joyride down a back road ends in a sudden impact that changes two lives forever.,3,Drama,impact,tt10122148
,-,Ziv Mamon,Meitar Farhat,"A family of Eritrean refugees gets a confirmation for their asylum request. A few minutes before their flight to Canada, the airport clerk tells them they can't get on the plane because their baggage is overweight. Their emotional argument is the trigger that causes the mother of the family to leave her children and her husband and go all the way back home to find wha... Leer todo",5,Drama,sophie,tt10124004
,-,Alexander Shigorin,-,"A young and ambitious debt collector suddenly learns that the license of his bank has been revoked and that he's been fired. Having received a teaching degree in university, he applies to work at a school, encountering unexpected problems.",22,Drama,click-click,tt10122926
,-,Libby Hakaraia,Libby Hakaraia,The last gravedigger in a Maori community struggles to find a younger man to whom he can pass on his skills and knowledge.,16,Drama,the grave digger of kapu,tt10126560
,-,Davis Rohrer,Davis Rohrer,"After a failed suicide attempt, a mentally crumbling Beth wants to stay with her little brother and best friend, Avery. He wants to prove he can take care of her, but his own problems may have him realize what is truly best for her.",24,Drama,the edge with us,tt10125380
,-,Leticia Cáceres,Angela Betzien,"Billie visits her ageing father in jail, revealing that her childhood in his care was not as safe and happy as he might have believed. Will she get her revenge?",8,Drama,the true history of billie the kid,tt10126510
89,-,Dominic Hure,Dominic Hure,-,-,Drama,feathers,tt10125038
,-,Prashant Rana,Prashant Rana,"In a small town of Pre independence of India .A beloved slave of a mistress gets mischievous and fall in love with a lady in town , what next his ruthless mistress done to them ..",30,Drama,gustaakh,tt10122192
